dataset,missingness_type,missing_rate,imputation_method,n_seeds,root_mean_square_error,root_mean_square_error_std,root_mean_square_error_median,root_mean_square_error_q1,root_mean_square_error_q3,root_mean_square_error_ci_lower,root_mean_square_error_ci_upper,mean_absolute_error,mean_absolute_error_std,mean_absolute_error_median,mean_absolute_error_q1,mean_absolute_error_q3,mean_absolute_error_ci_lower,mean_absolute_error_ci_upper
weather_izmir,missing_completely_at_random,25,k_nearest_neighbors_imputation,1,0.39096199110451085,0.0,0.39096199110451085,0.39096199110451085,0.39096199110451085,0.39096199110451085,0.39096199110451085,0.12068698543280769,0.0,0.12068698543280769,0.12068698543280769,0.12068698543280769,0.12068698543280769,0.12068698543280769
weather_izmir,missing_completely_at_random,25,mice_imputation,9,0.5089576821484246,0.05353817703164676,0.49883997246065176,0.47366683196356985,0.5545125440504326,0.46780459627300125,0.550110768023848,0.14818595748728447,0.01650148808083669,0.14173385545858883,0.14048921629116648,0.15554868332259225,0.13550179090347392,0.16087012407109502
weather_izmir,missing_completely_at_random,25,random_forest_imputation,9,0.39583597239635915,0.051190778921763797,0.413310333985238,0.3522937542692436,0.43695723650446683,0.356487256437056,0.4351846883556623,0.11179085619798973,0.01519947538262221,0.10697527194725454,0.10157323273111647,0.11678061850039584,0.10010750516956948,0.12347420722640998
weather_izmir,missing_completely_at_random,25,gain_imputation,9,0.5085449339653211,0.0551403702277186,0.4930698284874864,0.4726959184958278,0.5314699280881232,0.4661602933780518,0.5509295745525903,0.16688136448759605,0.029562107960970238,0.1621655726350094,0.1489853904019454,0.17436436726312235,0.14415791675314626,0.18960481222204584
weather_izmir,missing_completely_at_random,25,tabcsdi_imputation,9,0.6363669153297844,0.062171358877653016,0.6261232386570772,0.6073057086336333,0.6658115373632503,0.5885777784420744,0.6841560522174944,0.20219931209573122,0.04566434057791004,0.21418147317051672,0.18475164702627284,0.24047580815979883,0.16709859269438726,0.23730003149707518
weather_izmir,missing_completely_at_random,25,otimpute_imputation,9,0.4067986835901277,0.04599037098115009,0.40082399231228694,0.36704365070220135,0.43919911654144383,0.37144735503609244,0.442150012144163,0.11453011700602213,0.013187130068076579,0.11234296929326226,0.11184219727176074,0.11778895675782594,0.10439359151653553,0.12466664249550873
weather_izmir,missing_completely_at_random,40,k_nearest_neighbors_imputation,1,0.5502046104541932,0.0,0.5502046104541932,0.5502046104541932,0.5502046104541932,0.5502046104541932,0.5502046104541932,0.23960383650526515,0.0,0.23960383650526515,0.23960383650526515,0.23960383650526515,0.23960383650526515,0.23960383650526515
weather_izmir,missing_completely_at_random,30,k_nearest_neighbors_imputation,1,0.43758831081539473,0.0,0.43758831081539473,0.43758831081539473,0.43758831081539473,0.43758831081539473,0.43758831081539473,0.15247994715051486,0.0,0.15247994715051486,0.15247994715051486,0.15247994715051486,0.15247994715051486,0.15247994715051486
weather_izmir,missing_at_random,1,k_nearest_neighbors_imputation,1,0.06795030713593898,0.0,0.06795030713593898,0.06795030713593898,0.06795030713593898,0.06795030713593898,0.06795030713593898,0.004850511646819659,0.0,0.004850511646819659,0.004850511646819659,0.004850511646819659,0.004850511646819659,0.004850511646819659
weather_izmir,missing_at_random,3,k_nearest_neighbors_imputation,1,0.11031182815852916,0.0,0.11031182815852916,0.11031182815852916,0.11031182815852916,0.11031182815852916,0.11031182815852916,0.013269840021394284,0.0,0.013269840021394284,0.013269840021394284,0.013269840021394284,0.013269840021394284,0.013269840021394284
weather_izmir,missing_at_random,2,k_nearest_neighbors_imputation,1,0.10365192637792173,0.0,0.10365192637792173,0.10365192637792173,0.10365192637792173,0.10365192637792173,0.10365192637792173,0.009885815870712389,0.0,0.009885815870712389,0.009885815870712389,0.009885815870712389,0.009885815870712389,0.009885815870712389
weather_izmir,missing_at_random,4,k_nearest_neighbors_imputation,1,0.12259236307197244,0.0,0.12259236307197244,0.12259236307197244,0.12259236307197244,0.12259236307197244,0.12259236307197244,0.017408535583373744,0.0,0.017408535583373744,0.017408535583373744,0.017408535583373744,0.017408535583373744,0.017408535583373744
weather_izmir,missing_at_random,5,constant_imputation,1,0.24482478688798415,0.0,0.24482478688798415,0.24482478688798415,0.24482478688798415,0.24482478688798415,0.24482478688798415,0.04547825901696096,0.0,0.04547825901696096,0.04547825901696096,0.04547825901696096,0.04547825901696096,0.04547825901696096
weather_izmir,missing_at_random,5,mean_imputation,1,0.255963776046901,0.0,0.255963776046901,0.255963776046901,0.255963776046901,0.255963776046901,0.255963776046901,0.04757499871238216,0.0,0.04757499871238216,0.04757499871238216,0.04757499871238216,0.04757499871238216,0.04757499871238216
weather_izmir,missing_at_random,5,median_imputation,1,0.2503507052354687,0.0,0.2503507052354687,0.2503507052354687,0.2503507052354687,0.2503507052354687,0.2503507052354687,0.045752609152841156,0.0,0.045752609152841156,0.045752609152841156,0.045752609152841156,0.045752609152841156,0.045752609152841156
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,1,0.14046571765352492,0.0,0.14046571765352492,0.14046571765352492,0.14046571765352492,0.14046571765352492,0.14046571765352492,0.022447142103608382,0.0,0.022447142103608382,0.022447142103608382,0.022447142103608382,0.022447142103608382,0.022447142103608382
weather_izmir,missing_at_random,5,mice_imputation,1,0.1923392948618435,0.0,0.1923392948618435,0.1923392948618435,0.1923392948618435,0.1923392948618435,0.1923392948618435,0.03166547792147441,0.0,0.03166547792147441,0.03166547792147441,0.03166547792147441,0.03166547792147441,0.03166547792147441
weather_izmir,missing_at_random,5,random_forest_imputation,1,0.151116395776931,0.0,0.151116395776931,0.151116395776931,0.151116395776931,0.151116395776931,0.151116395776931,0.021357872654340374,0.0,0.021357872654340374,0.021357872654340374,0.021357872654340374,0.021357872654340374,0.021357872654340374
weather_izmir,missing_at_random,5,gain_imputation,1,0.38653841619003526,0.0,0.38653841619003526,0.38653841619003526,0.38653841619003526,0.38653841619003526,0.38653841619003526,0.06736523226336923,0.0,0.06736523226336923,0.06736523226336923,0.06736523226336923,0.06736523226336923,0.06736523226336923
weather_izmir,missing_at_random,5,tabcsdi_imputation,1,0.24698786317891622,0.0,0.24698786317891622,0.24698786317891622,0.24698786317891622,0.24698786317891622,0.24698786317891622,0.03986826862132104,0.0,0.03986826862132104,0.03986826862132104,0.03986826862132104,0.03986826862132104,0.03986826862132104
weather_izmir,missing_at_random,5,otimpute_imputation,1,0.18414164994694196,0.0,0.18414164994694196,0.18414164994694196,0.18414164994694196,0.18414164994694196,0.18414164994694196,0.029791248252009763,0.0,0.029791248252009763,0.029791248252009763,0.029791248252009763,0.029791248252009763,0.029791248252009763
weather_izmir,missing_at_random,6,k_nearest_neighbors_imputation,1,0.15214650756190287,0.0,0.15214650756190287,0.15214650756190287,0.15214650756190287,0.15214650756190287,0.15214650756190287,0.027339734881142025,0.0,0.027339734881142025,0.027339734881142025,0.027339734881142025,0.027339734881142025,0.027339734881142025
weather_izmir,missing_at_random,8,k_nearest_neighbors_imputation,1,0.1812486096539522,0.0,0.1812486096539522,0.1812486096539522,0.1812486096539522,0.1812486096539522,0.1812486096539522,0.03866331980308702,0.0,0.03866331980308702,0.03866331980308702,0.03866331980308702,0.03866331980308702,0.03866331980308702
weather_izmir,missing_at_random,10,constant_imputation,1,0.31981302368527526,0.0,0.31981302368527526,0.31981302368527526,0.31981302368527526,0.31981302368527526,0.31981302368527526,0.0843555455663597,0.0,0.0843555455663597,0.0843555455663597,0.0843555455663597,0.0843555455663597,0.0843555455663597
weather_izmir,missing_at_random,10,mean_imputation,1,0.3520126218417442,0.0,0.3520126218417442,0.3520126218417442,0.3520126218417442,0.3520126218417442,0.3520126218417442,0.09293891355652564,0.0,0.09293891355652564,0.09293891355652564,0.09293891355652564,0.09293891355652564,0.09293891355652564
weather_izmir,missing_at_random,10,median_imputation,1,0.3421643737541717,0.0,0.3421643737541717,0.3421643737541717,0.3421643737541717,0.3421643737541717,0.3421643737541717,0.08879874124274065,0.0,0.08879874124274065,0.08879874124274065,0.08879874124274065,0.08879874124274065,0.08879874124274065
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,1,0.20844258430952994,0.0,0.20844258430952994,0.20844258430952994,0.20844258430952994,0.20844258430952994,0.20844258430952994,0.05015602839447142,0.0,0.05015602839447142,0.05015602839447142,0.05015602839447142,0.05015602839447142,0.05015602839447142
weather_izmir,missing_at_random,10,mice_imputation,1,0.2851752780671191,0.0,0.2851752780671191,0.2851752780671191,0.2851752780671191,0.2851752780671191,0.2851752780671191,0.06405987474838834,0.0,0.06405987474838834,0.06405987474838834,0.06405987474838834,0.06405987474838834,0.06405987474838834
weather_izmir,missing_at_random,10,random_forest_imputation,1,0.20981235318520777,0.0,0.20981235318520777,0.20981235318520777,0.20981235318520777,0.20981235318520777,0.20981235318520777,0.0453111680968788,0.0,0.0453111680968788,0.0453111680968788,0.0453111680968788,0.0453111680968788,0.0453111680968788
weather_izmir,missing_at_random,10,gain_imputation,1,0.432978639663543,0.0,0.432978639663543,0.432978639663543,0.432978639663543,0.432978639663543,0.432978639663543,0.10660561180138997,0.0,0.10660561180138997,0.10660561180138997,0.10660561180138997,0.10660561180138997,0.10660561180138997
weather_izmir,missing_at_random,10,tabcsdi_imputation,1,0.2857649470368595,0.0,0.2857649470368595,0.2857649470368595,0.2857649470368595,0.2857649470368595,0.2857649470368595,0.06314691367596102,0.0,0.06314691367596102,0.06314691367596102,0.06314691367596102,0.06314691367596102,0.06314691367596102
weather_izmir,missing_at_random,10,otimpute_imputation,1,0.24763135294007474,0.0,0.24763135294007474,0.24763135294007474,0.24763135294007474,0.24763135294007474,0.24763135294007474,0.05962687220492258,0.0,0.05962687220492258,0.05962687220492258,0.05962687220492258,0.05962687220492258,0.05962687220492258
weather_izmir,missing_at_random,15,k_nearest_neighbors_imputation,1,0.2689663368155685,0.0,0.2689663368155685,0.2689663368155685,0.2689663368155685,0.2689663368155685,0.2689663368155685,0.07934557394203685,0.0,0.07934557394203685,0.07934557394203685,0.07934557394203685,0.07934557394203685,0.07934557394203685
weather_izmir,missing_at_random,25,constant_imputation,1,0.4620792569974784,0.0,0.4620792569974784,0.4620792569974784,0.4620792569974784,0.4620792569974784,0.4620792569974784,0.18604193414391235,0.0,0.18604193414391235,0.18604193414391235,0.18604193414391235,0.18604193414391235,0.18604193414391235
weather_izmir,missing_at_random,25,mean_imputation,1,0.5904856417898702,0.0,0.5904856417898702,0.5904856417898702,0.5904856417898702,0.5904856417898702,0.5904856417898702,0.24331852100487902,0.0,0.24331852100487902,0.24331852100487902,0.24331852100487902,0.24331852100487902,0.24331852100487902
weather_izmir,missing_at_random,25,median_imputation,1,0.5820850130681144,0.0,0.5820850130681144,0.5820850130681144,0.5820850130681144,0.5820850130681144,0.5820850130681144,0.2362607988875595,0.0,0.2362607988875595,0.2362607988875595,0.2362607988875595,0.2362607988875595,0.2362607988875595
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,1,0.4158150103575659,0.0,0.4158150103575659,0.4158150103575659,0.4158150103575659,0.4158150103575659,0.4158150103575659,0.15926283067301075,0.0,0.15926283067301075,0.15926283067301075,0.15926283067301075,0.15926283067301075,0.15926283067301075
weather_izmir,missing_at_random,25,mice_imputation,1,0.5319950523426585,0.0,0.5319950523426585,0.5319950523426585,0.5319950523426585,0.5319950523426585,0.5319950523426585,0.19583401206882328,0.0,0.19583401206882328,0.19583401206882328,0.19583401206882328,0.19583401206882328,0.19583401206882328
weather_izmir,missing_at_random,25,random_forest_imputation,1,0.404532337271545,0.0,0.404532337271545,0.404532337271545,0.404532337271545,0.404532337271545,0.404532337271545,0.14520446709128587,0.0,0.14520446709128587,0.14520446709128587,0.14520446709128587,0.14520446709128587,0.14520446709128587
weather_izmir,missing_at_random,25,gain_imputation,1,1.0517818678344306,0.0,1.0517818678344306,1.0517818678344306,1.0517818678344306,1.0517818678344306,1.0517818678344306,0.38215281948956387,0.0,0.38215281948956387,0.38215281948956387,0.38215281948956387,0.38215281948956387,0.38215281948956387
weather_izmir,missing_at_random,25,tabcsdi_imputation,1,0.6473233776213764,0.0,0.6473233776213764,0.6473233776213764,0.6473233776213764,0.6473233776213764,0.6473233776213764,0.24170530999522702,0.0,0.24170530999522702,0.24170530999522702,0.24170530999522702,0.24170530999522702,0.24170530999522702
weather_izmir,missing_at_random,25,otimpute_imputation,1,0.4954148918893132,0.0,0.4954148918893132,0.4954148918893132,0.4954148918893132,0.4954148918893132,0.4954148918893132,0.1937313075272444,0.0,0.1937313075272444,0.1937313075272444,0.1937313075272444,0.1937313075272444,0.1937313075272444
weather_izmir,missing_at_random,20,k_nearest_neighbors_imputation,1,0.3406885553699582,0.0,0.3406885553699582,0.3406885553699582,0.3406885553699582,0.3406885553699582,0.3406885553699582,0.11833893676084033,0.0,0.11833893676084033,0.11833893676084033,0.11833893676084033,0.11833893676084033,0.11833893676084033
weather_izmir,missing_at_random,30,k_nearest_neighbors_imputation,1,0.4882997698202026,0.0,0.4882997698202026,0.4882997698202026,0.4882997698202026,0.4882997698202026,0.4882997698202026,0.20587090217999024,0.0,0.20587090217999024,0.20587090217999024,0.20587090217999024,0.20587090217999024,0.20587090217999024
weather_izmir,missing_at_random,40,k_nearest_neighbors_imputation,1,0.7006698584317883,0.0,0.7006698584317883,0.7006698584317883,0.7006698584317883,0.7006698584317883,0.7006698584317883,0.3412967808735528,0.0,0.3412967808735528,0.3412967808735528,0.3412967808735528,0.3412967808735528,0.3412967808735528
weather_izmir,missing_not_at_random,1,k_nearest_neighbors_imputation,1,0.23672540260415356,0.0,0.23672540260415356,0.23672540260415356,0.23672540260415356,0.23672540260415356,0.23672540260415356,0.01688869828937992,0.0,0.01688869828937992,0.01688869828937992,0.01688869828937992,0.01688869828937992,0.01688869828937992
weather_izmir,missing_not_at_random,2,k_nearest_neighbors_imputation,1,0.2878332145896976,0.0,0.2878332145896976,0.2878332145896976,0.2878332145896976,0.2878332145896976,0.2878332145896976,0.0291107539668213,0.0,0.0291107539668213,0.0291107539668213,0.0291107539668213,0.0291107539668213,0.0291107539668213
weather_izmir,missing_not_at_random,3,k_nearest_neighbors_imputation,1,0.2897302670161958,0.0,0.2897302670161958,0.2897302670161958,0.2897302670161958,0.2897302670161958,0.2897302670161958,0.04113200215487299,0.0,0.04113200215487299,0.04113200215487299,0.04113200215487299,0.04113200215487299,0.04113200215487299
weather_izmir,missing_not_at_random,4,k_nearest_neighbors_imputation,1,0.34471022839655324,0.0,0.34471022839655324,0.34471022839655324,0.34471022839655324,0.34471022839655324,0.34471022839655324,0.04937126293876682,0.0,0.04937126293876682,0.04937126293876682,0.04937126293876682,0.04937126293876682,0.04937126293876682
weather_izmir,missing_not_at_random,5,constant_imputation,1,0.3902754629034752,0.0,0.3902754629034752,0.3902754629034752,0.3902754629034752,0.3902754629034752,0.3902754629034752,0.07601079187116021,0.0,0.07601079187116021,0.07601079187116021,0.07601079187116021,0.07601079187116021,0.07601079187116021
weather_izmir,missing_not_at_random,5,mean_imputation,1,0.42945242072541806,0.0,0.42945242072541806,0.42945242072541806,0.42945242072541806,0.42945242072541806,0.42945242072541806,0.08562202538455291,0.0,0.08562202538455291,0.08562202538455291,0.08562202538455291,0.08562202538455291,0.08562202538455291
weather_izmir,missing_not_at_random,5,median_imputation,1,0.41919477931954713,0.0,0.41919477931954713,0.41919477931954713,0.41919477931954713,0.41919477931954713,0.41919477931954713,0.08242764984229166,0.0,0.08242764984229166,0.08242764984229166,0.08242764984229166,0.08242764984229166,0.08242764984229166
weather_izmir,missing_not_at_random,5,k_nearest_neighbors_imputation,1,0.3284135896913902,0.0,0.3284135896913902,0.3284135896913902,0.3284135896913902,0.3284135896913902,0.3284135896913902,0.05989828594316126,0.0,0.05989828594316126,0.05989828594316126,0.05989828594316126,0.05989828594316126,0.05989828594316126
weather_izmir,missing_not_at_random,5,mice_imputation,1,0.31033413974148766,0.0,0.31033413974148766,0.31033413974148766,0.31033413974148766,0.31033413974148766,0.31033413974148766,0.0505545968989086,0.0,0.0505545968989086,0.0505545968989086,0.0505545968989086,0.0505545968989086,0.0505545968989086
