dataset,missingness_type,missing_rate,imputation_method,rmse
rmftsa_ladata,missing_completely_at_random,6,k_nearest_neighbors_imputation,1.3440767558289373
rmftsa_ladata,missing_completely_at_random,10,constant_imputation,27.190643976599834
rmftsa_ladata,missing_completely_at_random,10,mean_imputation,3.5402558125045016
rmftsa_ladata,missing_completely_at_random,10,median_imputation,3.6125709144880087
rmftsa_ladata,missing_completely_at_random,10,k_nearest_neighbors_imputation,2.130723569746025
rmftsa_ladata,missing_completely_at_random,10,mice_imputation,2.123070982483677
rmftsa_ladata,missing_completely_at_random,10,random_forest_imputation,1.601435625569047
rmftsa_ladata,missing_completely_at_random,15,k_nearest_neighbors_imputation,2.716532798362818
rmftsa_ladata,missing_completely_at_random,20,k_nearest_neighbors_imputation,3.2678862646092224
rmftsa_ladata,missing_completely_at_random,25,constant_imputation,45.14084037088547
rmftsa_ladata,missing_completely_at_random,25,mean_imputation,5.516066421100036
rmftsa_ladata,missing_completely_at_random,25,median_imputation,5.585217849394672
rmftsa_ladata,missing_completely_at_random,25,k_nearest_neighbors_imputation,3.7446327213444732
rmftsa_ladata,missing_completely_at_random,25,mice_imputation,3.8104668788725626
rmftsa_ladata,missing_completely_at_random,25,random_forest_imputation,2.989870490448046
rmftsa_ladata,missing_completely_at_random,30,k_nearest_neighbors_imputation,4.07005907291667
rmftsa_ladata,missing_completely_at_random,40,k_nearest_neighbors_imputation,4.909794909309561
rmftsa_ladata,missing_at_random,1,k_nearest_neighbors_imputation,0.6533339444510387
rmftsa_ladata,missing_at_random,2,k_nearest_neighbors_imputation,0.8839832344083813
rmftsa_ladata,missing_at_random,4,k_nearest_neighbors_imputation,1.2086451479750224
rmftsa_ladata,missing_at_random,3,k_nearest_neighbors_imputation,1.025480849762673
rmftsa_ladata,missing_at_random,10,constant_imputation,15.260470881838248
rmftsa_ladata,missing_at_random,10,mean_imputation,3.862327144041438
rmftsa_ladata,missing_at_random,10,median_imputation,3.5830833453664623
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,2.1076904617739207
rmftsa_ladata,missing_at_random,10,mice_imputation,1.403730729388625
rmftsa_ladata,missing_at_random,10,random_forest_imputation,1.4138277855870949
rmftsa_ladata,missing_at_random,6,k_nearest_neighbors_imputation,1.5468708963910065
rmftsa_ladata,missing_at_random,5,constant_imputation,10.46766108557027
rmftsa_ladata,missing_at_random,5,mean_imputation,2.7727386144100223
rmftsa_ladata,missing_at_random,5,median_imputation,2.5432432754787184
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,1.3899532201787066
rmftsa_ladata,missing_at_random,5,mice_imputation,0.9700268788385666
rmftsa_ladata,missing_at_random,5,random_forest_imputation,0.8711092964575966
rmftsa_ladata,missing_at_random,8,k_nearest_neighbors_imputation,1.8159974585492342
rmftsa_ladata,missing_at_random,15,k_nearest_neighbors_imputation,2.85267733512543
rmftsa_ladata,missing_at_random,20,k_nearest_neighbors_imputation,3.56127499153645
rmftsa_ladata,missing_at_random,30,k_nearest_neighbors_imputation,5.256677866179471
rmftsa_ladata,missing_at_random,25,constant_imputation,25.68074925356364
rmftsa_ladata,missing_at_random,25,mean_imputation,6.405490659341301
rmftsa_ladata,missing_at_random,25,median_imputation,6.315332707365814
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,4.329472220196879
rmftsa_ladata,missing_at_random,25,mice_imputation,3.0303445563039952
rmftsa_ladata,missing_at_random,25,random_forest_imputation,3.1625333568861818
rmftsa_ladata,missing_at_random,40,k_nearest_neighbors_imputation,7.742865573260297
rmftsa_ladata,missing_not_at_random,1,k_nearest_neighbors_imputation,1.3552467570788431
rmftsa_ladata,missing_not_at_random,2,k_nearest_neighbors_imputation,1.2264457151834827
rmftsa_ladata,missing_not_at_random,3,k_nearest_neighbors_imputation,2.230262511200582
rmftsa_ladata,missing_not_at_random,4,k_nearest_neighbors_imputation,2.8313064748353525
rmftsa_ladata,missing_not_at_random,5,constant_imputation,7.940773801273534
rmftsa_ladata,missing_not_at_random,5,mean_imputation,2.94369578318824
rmftsa_ladata,missing_not_at_random,5,median_imputation,2.587034841600233
rmftsa_ladata,missing_not_at_random,5,k_nearest_neighbors_imputation,1.344818283574358
rmftsa_ladata,missing_not_at_random,5,mice_imputation,1.2198543300796918
rmftsa_ladata,missing_not_at_random,5,random_forest_imputation,1.1176199723566806
rmftsa_ladata,missing_not_at_random,6,k_nearest_neighbors_imputation,2.9812566861562835
