dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,wasserstein_distance,bottleneck_distance
treasury,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.04670810717002517,0.003561983322474911
treasury,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,1,1.9952384047870215e-05,5.102630779817152e-06
treasury,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.0,0.0
treasury,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,0,0.00019116864528668354,1.7970971564548017e-05
treasury,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,1,2.467397274131242e-11,2.4370657456061068e-11
treasury,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,0,0.003942288440345395,0.0003149065108853429
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,1,5.783424455747791e-08,2.4339565149814057e-08
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,1.8682450949368508,0.03593440825244046
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.7016588312003963,0.02598043153802826
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.19823901803549365,0.00489697933864594
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.5730082390500085,0.006399650543946381
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.13401779246363188,0.002884180055285568
weather_izmir,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.02576869100832701,0.0017577887913737406
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.6615685513137196,0.012022362696661543
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.13368983753601613,0.005209611317168045
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.02191262606040316,0.0015754416371850655
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,2.108625486074452,0.035063928044425846
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.8539601386964251,0.02598043153802826
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.2419277464508724,0.003555338696376073
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,0.049992691263736684,0.0059901714356935315
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,7.800812691495412e-06,4.196141031812678e-06
weather_izmir,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,8.605335766881383e-10,6.08489128008094e-10
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,10.455640710767522,0.0956854120219687
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,1.6729844550829287,0.027913236406567565
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,0.3749656575094313,0.007153446876633225
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,0,1.2199273735287839,0.014962533487617516
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.14685197949015488,0.0035731309185005056
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.018122202527053453,0.0017577887913737406
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,0,1.166058697284395,0.007213934346965053
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,1,0.0007305523558762044,0.0001468965775481097
weather_izmir,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,2,8.605335766881383e-10,6.08489128008094e-10
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,0.34714782043692016,0.0033056838684909426
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.18729050428827468,0.004439760285746608
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.04963626654797863,0.0034134761299867353
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.27647574567104605,0.0030302526799210194
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.0014029894735361752,0.0005708910643804632
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.00015665457110246786,0.00014725944152449433
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,0,0.0,0.0
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
hungarian-chickenpox,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,0.8989286868713038,0.008448716545372222
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.33974759102554053,0.005044100442948257
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.11601237629472082,0.0034839391849320334
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.5346628363815192,0.004768581554801032
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.003626628168246474,0.0010647202731910443
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.00022555288876921487,0.0001594899771649172
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,3.3013260915096203e-06,3.297474476981338e-06
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
hungarian-chickenpox,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,0,5.3335307755610374e-09,5.036800045836801e-09
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,4.017671697270229,0.02255460809473826
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,0.7851473992921016,0.015281115660171596
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,0.25080145242706875,0.006132409532165095
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,0,1.0918123252633365,0.00625664901978662
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.008068778495460428,0.0020144545492915555
hungarian-chickenpox,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.00022555288876921487,0.0001594899771649172
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.27647574567104605,0.0030302526799210194
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.0014029894735361752,0.0005708910643804632
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.00015665457110246786,0.00014725944152449433
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,0.34714782043692016,0.0033056838684909426
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.18729050428827468,0.004439760285746608
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.04963626654797863,0.0034134761299867353
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,0,0.0,0.0
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
cnn-stock-pred-dji,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,0.8989286868713038,0.008448716545372222
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.33974759102554053,0.005044100442948257
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.11601237629472082,0.0034839391849320334
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.5346628363815192,0.004768581554801032
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.003626628168246474,0.0010647202731910443
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.00022555288876921487,0.0001594899771649172
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,3.3013260915096203e-06,3.297474476981338e-06
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
cnn-stock-pred-dji,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,0,5.3335307755610374e-09,5.036800045836801e-09
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,4.017671697270229,0.02255460809473826
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,0.7851473992921016,0.015281115660171596
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,0.25080145242706875,0.006132409532165095
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,0,1.0918123252633365,0.00625664901978662
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.008068778495460428,0.0020144545492915555
cnn-stock-pred-dji,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.00022555288876921487,0.0001594899771649172
torus,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,0.8257272414774646,0.002941619757536637
torus,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.45374334679566747,0.02376063660814104
torus,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.5988075553100085,0.007641094800057369
torus,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,0,1.1390366450136666,0.0036799253375211227
torus,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,1,0.4952154534971562,0.007699410719689437
torus,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,0.07603159344502244,0.0026051553858555954
torus,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.49445257984664553,0.007715053060776883
torus,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.29221027184489645,0.0134478021240797
torus,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.37963957108455915,0.011980800966545024
torus,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,0.4395586041761149,0.0026957696590671626
torus,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.6695150322145651,0.034893829397211196
torus,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.692177340249489,0.011509185376555042
torus,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,0.6049200663886083,0.003320206151262828
torus,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,0.7357634656167277,0.014480951920424978
torus,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,0.09973835719820662,0.005670040567583912
torus,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.6224318223314339,0.007446489766274822
torus,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.4072758633199333,0.02680626203318115
